CarrierName,Date,ProportionalCancellations
US Airways Inc.,01/17/01,0.0219990435198
US Airways Inc.,01/18/01,0.024868483979
US Airways Inc.,01/19/01,0.0448687350835
US Airways Inc.,01/20/01,0.0399361022364
US Airways Inc.,01/21/01,0.103819784525
US Airways Inc.,01/22/01,0.0205446727186
US Airways Inc.,01/23/01,0.0200860832138
US Airways Inc.,01/24/01,0.0167384026781
US Airways Inc.,01/25/01,0.0114777618364
US Airways Inc.,01/26/01,0.0200477326969
US Airways Inc.,01/27/01,0.0255591054313
US Airways Inc.,01/28/01,0.0279138099902
US Airways Inc.,01/29/01,0.0453893932155
US Airways Inc.,01/30/01,0.0416068866571
US Airways Inc.,01/31/01,0.0301291248207
US Airways Inc.,01/01/01,0.0191919191919
US Airways Inc.,01/02/01,0.0264650283554
US Airways Inc.,01/03/01,0.023629489603
US Airways Inc.,01/04/01,0.0278959810875
US Airways Inc.,01/05/01,0.0948560641812
US Airways Inc.,01/06/01,0.0389004149378
US Airways Inc.,01/07/01,0.0245218244237
US Airways Inc.,01/08/01,0.0291447682752
US Airways Inc.,01/09/01,0.0320420851267
US Airways Inc.,01/10/01,0.0157819225251
US Airways Inc.,01/11/01,0.0162601626016
US Airways Inc.,01/12/01,0.0167064439141
US Airways Inc.,01/13/01,0.0154501864678
US Airways Inc.,01/14/01,0.0190989226249
US Airways Inc.,01/15/01,0.0320114667941
US Airways Inc.,01/16/01,0.0239120038259
Southwest Airlines Co.,01/02/01,0.0144124168514
Southwest Airlines Co.,01/03/01,0.0151515151515
Southwest Airlines Co.,01/04/01,0.0158906134516
Southwest Airlines Co.,01/05/01,0.0121906169191
Southwest Airlines Co.,01/07/01,0.011872845653
Southwest Airlines Co.,01/08/01,0.0110864745011
Southwest Airlines Co.,01/09/01,0.00960827790096
Southwest Airlines Co.,01/10/01,0.0406504065041
Southwest Airlines Co.,01/11/01,0.0321507760532
Southwest Airlines Co.,01/12/01,0.0147765053565
Southwest Airlines Co.,01/14/01,0.00880888548449
Southwest Airlines Co.,01/15/01,0.00369549150037
Southwest Airlines Co.,01/16/01,0.0339985218034
Southwest Airlines Co.,01/17/01,0.00591278640059
Southwest Airlines Co.,01/18/01,0.0070214338507
Southwest Airlines Co.,01/19/01,0.00701884004433
Southwest Airlines Co.,01/22/01,0.00950987564009
Southwest Airlines Co.,01/23/01,0.00621799561083
Southwest Airlines Co.,01/24/01,0.0149963423555
Southwest Airlines Co.,01/25/01,0.0146305779078
Southwest Airlines Co.,01/26/01,0.00877192982456
Southwest Airlines Co.,01/29/01,0.025237746891
Southwest Airlines Co.,01/30/01,0.0164594001463
Southwest Airlines Co.,01/31/01,0.0087783467447
Southwest Airlines Co.,01/06/01,0.010152284264
Southwest Airlines Co.,01/13/01,0.00553760959852
Southwest Airlines Co.,01/20/01,0.00856734888149
Southwest Airlines Co.,01/21/01,0.0121703853955
Southwest Airlines Co.,01/27/01,0.0100095328885
Southwest Airlines Co.,01/28/01,0.0105476673428
Southwest Airlines Co.,01/01/01,0.000991080277502
Northwest Airlines Inc.,01/20/01,0.0457010069713
Northwest Airlines Inc.,01/21/01,0.0609243697479
Northwest Airlines Inc.,01/22/01,0.0197238658777
Northwest Airlines Inc.,01/23/01,0.0243261012492
Northwest Airlines Inc.,01/24/01,0.0223390275953
Northwest Airlines Inc.,01/25/01,0.0216393442623
Northwest Airlines Inc.,01/26/01,0.0340091563113
Northwest Airlines Inc.,01/27/01,0.0185328185328
Northwest Airlines Inc.,01/28/01,0.0217086834734
Northwest Airlines Inc.,01/29/01,0.14875491481
Northwest Airlines Inc.,01/30/01,0.0712871287129
Northwest Airlines Inc.,01/04/01,0.0177398160315
Northwest Airlines Inc.,01/05/01,0.0309007232084
Northwest Airlines Inc.,01/06/01,0.0309837335399
Northwest Airlines Inc.,01/07/01,0.015427769986
Northwest Airlines Inc.,01/08/01,0.0177514792899
Northwest Airlines Inc.,01/09/01,0.0230111768573
Northwest Airlines Inc.,01/10/01,0.0138067061144
Northwest Airlines Inc.,01/11/01,0.0197238658777
Northwest Airlines Inc.,01/12/01,0.0210249671485
Northwest Airlines Inc.,01/13/01,0.0154918667699
Northwest Airlines Inc.,01/14/01,0.019649122807
Northwest Airlines Inc.,01/15/01,0.0243261012492
Northwest Airlines Inc.,01/16/01,0.0361604207758
Northwest Airlines Inc.,01/17/01,0.0138067061144
Northwest Airlines Inc.,01/18/01,0.021667760998
Northwest Airlines Inc.,01/19/01,0.0289093298292
Northwest Airlines Inc.,01/31/01,0.0231958762887
Northwest Airlines Inc.,01/01/01,0.0114942528736
Northwest Airlines Inc.,01/02/01,0.0234375
Northwest Airlines Inc.,01/03/01,0.0232249502322
Trans World Airways LLC,01/01/01,0.02416918429
Trans World Airways LLC,01/02/01,0.00414364640884
Trans World Airways LLC,01/03/01,0.0136798905609
Trans World Airways LLC,01/04/01,0.00410396716826
Trans World Airways LLC,01/05/01,0.0220385674931
Trans World Airways LLC,01/06/01,0.0142857142857
Trans World Airways LLC,01/07/01,0.0204678362573
Trans World Airways LLC,01/08/01,0.0
Trans World Airways LLC,01/09/01,0.0109739368999
Trans World Airways LLC,01/10/01,0.00956284153005
Trans World Airways LLC,01/11/01,0.00820793433653
Trans World Airways LLC,01/12/01,0.0302613480055
Trans World Airways LLC,01/13/01,0.0
Trans World Airways LLC,01/14/01,0.0263157894737
Trans World Airways LLC,01/15/01,0.00964187327824
Trans World Airways LLC,01/16/01,0.0041265474553
Trans World Airways LLC,01/17/01,0.0
Trans World Airways LLC,01/18/01,0.00958904109589
Trans World Airways LLC,01/19/01,0.0178817056396
Trans World Airways LLC,01/20/01,0.0397456279809
Trans World Airways LLC,01/21/01,0.0453216374269
Trans World Airways LLC,01/22/01,0.0123796423659
Trans World Airways LLC,01/23/01,0.0192837465565
Trans World Airways LLC,01/24/01,0.00824175824176
Trans World Airways LLC,01/25/01,0.0232876712329
Trans World Airways LLC,01/26/01,0.0522696011004
Trans World Airways LLC,01/27/01,0.00634920634921
Trans World Airways LLC,01/28/01,0.0423976608187
Trans World Airways LLC,01/29/01,0.141678129298
Trans World Airways LLC,01/30/01,0.0247933884298
Trans World Airways LLC,01/31/01,0.0164383561644
United Air Lines Inc.,01/01/01,0.00768442622951
United Air Lines Inc.,01/02/01,0.0227713178295
United Air Lines Inc.,01/03/01,0.0184376516254
United Air Lines Inc.,01/04/01,0.0184466019417
United Air Lines Inc.,01/05/01,0.0276967930029
United Air Lines Inc.,01/06/01,0.0210415570752
United Air Lines Inc.,01/07/01,0.0280561122244
United Air Lines Inc.,01/08/01,0.0286419753086
United Air Lines Inc.,01/09/01,0.0427308447937
United Air Lines Inc.,01/10/01,0.0638193421699
United Air Lines Inc.,01/11/01,0.094627895515
United Air Lines Inc.,01/12/01,0.0367827366356
United Air Lines Inc.,01/13/01,0.02175066313
United Air Lines Inc.,01/14/01,0.0442878711626
United Air Lines Inc.,01/15/01,0.0378006872852
United Air Lines Inc.,01/16/01,0.0363279332351
United Air Lines Inc.,01/17/01,0.0240549828179
United Air Lines Inc.,01/18/01,0.0240549828179
United Air Lines Inc.,01/19/01,0.0426889106968
United Air Lines Inc.,01/20/01,0.0403397027601
United Air Lines Inc.,01/21/01,0.0578761952693
United Air Lines Inc.,01/22/01,0.0314187530682
United Air Lines Inc.,01/23/01,0.0471281296024
United Air Lines Inc.,01/24/01,0.0279823269514
United Air Lines Inc.,01/25/01,0.0570024570025
United Air Lines Inc.,01/26/01,0.0569185475957
United Air Lines Inc.,01/27/01,0.0291932059448
United Air Lines Inc.,01/28/01,0.02416918429
United Air Lines Inc.,01/29/01,0.0952848722986
United Air Lines Inc.,01/30/01,0.0382916053019
United Air Lines Inc.,01/31/01,0.0230731467845
Delta Air Lines Inc.,01/15/01,0.0309734513274
Delta Air Lines Inc.,01/16/01,0.0277554304103
Delta Air Lines Inc.,01/17/01,0.0446680080483
Delta Air Lines Inc.,01/18/01,0.0556451612903
Delta Air Lines Inc.,01/19/01,0.0514676316848
Delta Air Lines Inc.,01/20/01,0.125456760049
Delta Air Lines Inc.,01/21/01,0.114297253635
Delta Air Lines Inc.,01/22/01,0.030534351145
Delta Air Lines Inc.,01/23/01,0.0281463610776
Delta Air Lines Inc.,01/24/01,0.0233118971061
Delta Air Lines Inc.,01/25/01,0.0265700483092
Delta Air Lines Inc.,01/26/01,0.0258168616378
Delta Air Lines Inc.,01/27/01,0.03256003256
Delta Air Lines Inc.,01/28/01,0.0231049858127
Delta Air Lines Inc.,01/29/01,0.0225806451613
Delta Air Lines Inc.,01/30/01,0.0428282828283
Delta Air Lines Inc.,01/31/01,0.0186877076412
Delta Air Lines Inc.,01/01/01,0.214759535655
Delta Air Lines Inc.,01/02/01,0.109324758842
Delta Air Lines Inc.,01/03/01,0.0559131134352
Delta Air Lines Inc.,01/04/01,0.035814889336
Delta Air Lines Inc.,01/05/01,0.047215496368
Delta Air Lines Inc.,01/06/01,0.053338762215
Delta Air Lines Inc.,01/07/01,0.0344268934791
Delta Air Lines Inc.,01/08/01,0.0455094643576
Delta Air Lines Inc.,01/09/01,0.0395480225989
Delta Air Lines Inc.,01/10/01,0.0586806960745
Delta Air Lines Inc.,01/11/01,0.0447039871124
Delta Air Lines Inc.,01/12/01,0.0282144296655
Delta Air Lines Inc.,01/13/01,0.0265306122449
Delta Air Lines Inc.,01/14/01,0.0238480194018
America West Airlines Inc.,01/01/01,0.068515497553
America West Airlines Inc.,01/02/01,0.0254777070064
America West Airlines Inc.,01/03/01,0.0127186009539
America West Airlines Inc.,01/04/01,0.0126582278481
America West Airlines Inc.,01/05/01,0.0346456692913
America West Airlines Inc.,01/06/01,0.0335689045936
America West Airlines Inc.,01/07/01,0.0336538461538
America West Airlines Inc.,01/08/01,0.0174603174603
America West Airlines Inc.,01/09/01,0.0175159235669
America West Airlines Inc.,01/10/01,0.0429936305732
America West Airlines Inc.,01/11/01,0.0664556962025
America West Airlines Inc.,01/12/01,0.110410094637
America West Airlines Inc.,01/13/01,0.0106007067138
America West Airlines Inc.,01/14/01,0.016051364366
America West Airlines Inc.,01/15/01,0.052380952381
America West Airlines Inc.,01/16/01,0.116242038217
America West Airlines Inc.,01/17/01,0.0207006369427
America West Airlines Inc.,01/18/01,0.0189873417722
America West Airlines Inc.,01/19/01,0.0314960629921
America West Airlines Inc.,01/20/01,0.0459363957597
America West Airlines Inc.,01/21/01,0.0544871794872
America West Airlines Inc.,01/22/01,0.0175438596491
America West Airlines Inc.,01/23/01,0.0127591706539
America West Airlines Inc.,01/24/01,0.0191082802548
America West Airlines Inc.,01/25/01,0.0253164556962
America West Airlines Inc.,01/26/01,0.0220820189274
America West Airlines Inc.,01/27/01,0.083038869258
America West Airlines Inc.,01/28/01,0.0416666666667
America West Airlines Inc.,01/29/01,0.031746031746
America West Airlines Inc.,01/30/01,0.0509554140127
America West Airlines Inc.,01/31/01,0.0238853503185
American Eagle Airlines Inc.,01/01/01,0.262186115214
American Eagle Airlines Inc.,01/02/01,0.11048557354
American Eagle Airlines Inc.,01/03/01,0.11315417256
American Eagle Airlines Inc.,01/04/01,0.0960451977401
American Eagle Airlines Inc.,01/05/01,0.107670654469
American Eagle Airlines Inc.,01/06/01,0.0777683854607
American Eagle Airlines Inc.,01/07/01,0.0942136498516
American Eagle Airlines Inc.,01/08/01,0.0584918957012
American Eagle Airlines Inc.,01/09/01,0.0611384399157
American Eagle Airlines Inc.,01/10/01,0.0611814345992
American Eagle Airlines Inc.,01/11/01,0.0505973295854
American Eagle Airlines Inc.,01/12/01,0.12729844413
American Eagle Airlines Inc.,01/13/01,0.069550466497
American Eagle Airlines Inc.,01/14/01,0.0971089696071
American Eagle Airlines Inc.,01/15/01,0.137834036568
American Eagle Airlines Inc.,01/16/01,0.0845665961945
American Eagle Airlines Inc.,01/17/01,0.0767065446868
American Eagle Airlines Inc.,01/18/01,0.0662438336857
American Eagle Airlines Inc.,01/19/01,0.115952213633
American Eagle Airlines Inc.,01/20/01,0.0943555181129
American Eagle Airlines Inc.,01/21/01,0.119347664937
American Eagle Airlines Inc.,01/22/01,0.0724331926864
American Eagle Airlines Inc.,01/23/01,0.056258790436
American Eagle Airlines Inc.,01/24/01,0.0337552742616
American Eagle Airlines Inc.,01/25/01,0.0351617440225
American Eagle Airlines Inc.,01/26/01,0.0837438423645
American Eagle Airlines Inc.,01/27/01,0.0551782682513
American Eagle Airlines Inc.,01/28/01,0.0543964232489
American Eagle Airlines Inc.,01/29/01,0.107042253521
American Eagle Airlines Inc.,01/30/01,0.132342533616
American Eagle Airlines Inc.,01/31/01,0.0885017421603
American Airlines Inc.,01/01/01,0.0737463126844
American Airlines Inc.,01/02/01,0.0280898876404
American Airlines Inc.,01/03/01,0.0253521126761
American Airlines Inc.,01/04/01,0.0225882352941
American Airlines Inc.,01/05/01,0.0644099670898
American Airlines Inc.,01/06/01,0.0269290523045
American Airlines Inc.,01/07/01,0.0153541357107
American Airlines Inc.,01/08/01,0.0399811853246
American Airlines Inc.,01/09/01,0.040864255519
American Airlines Inc.,01/10/01,0.0460526315789
American Airlines Inc.,01/11/01,0.0409219190969
American Airlines Inc.,01/12/01,0.0352278064819
American Airlines Inc.,01/13/01,0.0196993260757
American Airlines Inc.,01/14/01,0.0525012382368
American Airlines Inc.,01/15/01,0.0605918271489
American Airlines Inc.,01/16/01,0.028651949272
American Airlines Inc.,01/17/01,0.031015037594
American Airlines Inc.,01/18/01,0.195396899953
American Airlines Inc.,01/19/01,0.0450915922969
American Airlines Inc.,01/20/01,0.0585795749093
