CarrierName,Date,ProportionalCancellations
US Airways Inc.,07/13/01,0.00538160469667
US Airways Inc.,07/14/01,0.00840336134454
US Airways Inc.,07/15/01,0.0120481927711
US Airways Inc.,07/16/01,0.00930004894763
US Airways Inc.,07/17/01,0.0215475024486
US Airways Inc.,07/18/01,0.0112579539892
US Airways Inc.,07/19/01,0.0102840352595
US Airways Inc.,07/20/01,0.00440744368266
US Airways Inc.,07/21/01,0.00840336134454
US Airways Inc.,07/22/01,0.0110552763819
US Airways Inc.,07/23/01,0.0156555772994
US Airways Inc.,07/24/01,0.0229941291585
US Airways Inc.,07/25/01,0.0259295499022
US Airways Inc.,07/26/01,0.0601761252446
US Airways Inc.,07/27/01,0.0156555772994
US Airways Inc.,07/28/01,0.00839895013123
US Airways Inc.,07/29/01,0.0426706827309
US Airways Inc.,07/30/01,0.01614481409
US Airways Inc.,07/31/01,0.00880626223092
US Airways Inc.,07/01/01,0.1535
US Airways Inc.,07/02/01,0.0210924824229
US Airways Inc.,07/03/01,0.00216802168022
US Airways Inc.,07/04/01,0.0119241192412
US Airways Inc.,07/05/01,0.0113821138211
US Airways Inc.,07/06/01,0.00108459869848
US Airways Inc.,07/07/01,0.0100052659294
US Airways Inc.,07/08/01,0.00904068307383
US Airways Inc.,07/09/01,0.00880626223092
US Airways Inc.,07/10/01,0.0636007827789
US Airways Inc.,07/11/01,0.0181017612524
US Airways Inc.,07/12/01,0.00489236790607
United Air Lines Inc.,07/01/01,0.0672308415609
United Air Lines Inc.,07/02/01,0.0413602941176
United Air Lines Inc.,07/03/01,0.0271139705882
United Air Lines Inc.,07/04/01,0.0120759056929
United Air Lines Inc.,07/05/01,0.0230308613542
United Air Lines Inc.,07/06/01,0.0335323840147
United Air Lines Inc.,07/07/01,0.0241196333816
United Air Lines Inc.,07/08/01,0.0202830188679
United Air Lines Inc.,07/09/01,0.0273274664196
United Air Lines Inc.,07/10/01,0.0300786672837
United Air Lines Inc.,07/11/01,0.0231481481481
United Air Lines Inc.,07/12/01,0.0268394261916
United Air Lines Inc.,07/13/01,0.0166435506241
United Air Lines Inc.,07/14/01,0.0208839242351
United Air Lines Inc.,07/15/01,0.00854295206455
United Air Lines Inc.,07/16/01,0.0296022201665
United Air Lines Inc.,07/17/01,0.0370027752081
United Air Lines Inc.,07/18/01,0.0402405180389
United Air Lines Inc.,07/19/01,0.0217391304348
United Air Lines Inc.,07/20/01,0.0175763182239
United Air Lines Inc.,07/21/01,0.0398251578436
United Air Lines Inc.,07/22/01,0.031798766018
United Air Lines Inc.,07/23/01,0.063829787234
United Air Lines Inc.,07/24/01,0.0425531914894
United Air Lines Inc.,07/25/01,0.0152636447734
United Air Lines Inc.,07/26/01,0.0235892691952
United Air Lines Inc.,07/27/01,0.0147874306839
